Actor,Movie,Year of Release,Awards,Rotten Tomatoes Rating,Filmography Type
Leonardo DiCaprio,The Wolf of Wall Street,1990,Critics Choice,71%,Movie
Meryl Streep,The Godfather Part II,1994,No Awards,72%,Movie
Sandra Bullock,Training Day,1995,BAFTA,83%,Series
Tom Hanks,The Shawshank Redemption,1981,Golden Globe,67%,Movie
Scarlett Johansson,Black Swan,2021,BAFTA,70%,Movie
Morgan Freeman,Lucy,1994,Oscar,91%,Series
Scarlett Johansson,The Wolf of Wall Street,2014,BAFTA,62%,Movie
Morgan Freeman,The Devil Wears Prada,2012,Oscar,95%,Movie
Tom Hanks,Black Swan,2021,Golden Globe,99%,Movie
Robert De Niro,Ocean's Eleven,2016,Critics Choice,68%,Series
Natalie Portman,The Devil Wears Prada,1981,No Awards,98%,Movie
Robert De Niro,Gravity,2014,Critics Choice,95%,Movie
Denzel Washington,The Silence of the Lambs,1996,Critics Choice,80%,Series
Tom Hanks,Training Day,1998,Oscar,72%,Series
Morgan Freeman,Fences,1997,Screen Actors Guild,88%,Movie
Natalie Portman,Black Swan,1997,BAFTA,44%,Series
Robert De Niro,Ocean's Eleven,1993,Golden Globe,76%,Movie
Meryl Streep,The Devil Wears Prada,1991,Oscar,84%,Series
Scarlett Johansson,The Shawshank Redemption,2006,Screen Actors Guild,78%,Series
Sandra Bullock,Ocean's Eleven,2017,BAFTA,82%,Movie
Meryl Streep,Titanic,1985,No Awards,85%,Series
Robert De Niro,Fences,2018,Screen Actors Guild,63%,Movie
Sandra Bullock,La La Land,2012,Oscar,48%,Series
Tom Hanks,The Iron Lady,2022,Oscar,70%,Series
Morgan Freeman,Fight Club,2010,BAFTA,82%,Series
Leonardo DiCaprio,Titanic,1998,Critics Choice,84%,Series
Brad Pitt,The Silence of the Lambs,1987,Screen Actors Guild,58%,Movie
Natalie Portman,The Departed,2011,No Awards,54%,Series
Meryl Streep,Fences,1984,No Awards,84%,Series
Leonardo DiCaprio,Ocean's Eleven,2017,Oscar,53%,Movie
Brad Pitt,The Silence of the Lambs,2009,Oscar,76%,Series
Scarlett Johansson,The Wolf of Wall Street,2014,Golden Globe,100%,Movie
Morgan Freeman,The Silence of the Lambs,1981,Oscar,54%,Series
Scarlett Johansson,Black Swan,1994,Screen Actors Guild,65%,Movie
Tom Hanks,La La Land,1989,Golden Globe,62%,Movie
Morgan Freeman,The Devil Wears Prada,2021,Critics Choice,74%,Series
Robert De Niro,Gravity,2011,No Awards,86%,Series
Natalie Portman,The Silence of the Lambs,1982,Screen Actors Guild,77%,Movie
Morgan Freeman,Titanic,2002,No Awards,64%,Movie
Leonardo DiCaprio,Training Day,2018,Oscar,79%,Series
Sandra Bullock,Fight Club,1997,No Awards,45%,Movie
Brad Pitt,The Shawshank Redemption,2002,Golden Globe,76%,Series
Sandra Bullock,Fences,1990,Critics Choice,49%,Series
Scarlett Johansson,Titanic,2011,BAFTA,99%,Movie
Denzel Washington,The Departed,1988,Critics Choice,87%,Movie
Sandra Bullock,The Godfather Part II,1983,No Awards,43%,Movie
Robert De Niro,Lucy,2005,Critics Choice,53%,Movie
Sandra Bullock,The Godfather Part II,1987,Golden Globe,69%,Series
Morgan Freeman,Se7en,2010,Critics Choice,80%,Movie
Natalie Portman,The Godfather Part II,2015,Critics Choice,79%,Series
Leonardo DiCaprio,Gravity,1984,Oscar,89%,Series
Sandra Bullock,Gravity,1982,Critics Choice,63%,Movie
Natalie Portman,The Iron Lady,1991,No Awards,98%,Series
Brad Pitt,The Iron Lady,2015,Oscar,100%,Movie
Leonardo DiCaprio,The Matrix,2008,BAFTA,53%,Series
Denzel Washington,Gravity,1980,Critics Choice,45%,Series
Scarlett Johansson,The Wolf of Wall Street,2020,Oscar,85%,Movie
Brad Pitt,The Godfather Part II,1980,BAFTA,100%,Movie
Brad Pitt,The Silence of the Lambs,2001,No Awards,99%,Series
Sandra Bullock,The Silence of the Lambs,1996,Golden Globe,83%,Movie
Scarlett Johansson,The Matrix,1989,Golden Globe,79%,Movie
Natalie Portman,Gravity,2008,Screen Actors Guild,93%,Series
Leonardo DiCaprio,Ocean's Eleven,2010,Golden Globe,83%,Movie
Scarlett Johansson,Fences,1990,Oscar,64%,Movie
Denzel Washington,The Departed,1985,Critics Choice,75%,Series
Sandra Bullock,Se7en,2007,Screen Actors Guild,52%,Series
Sandra Bullock,Lucy,2022,No Awards,46%,Series
Tom Hanks,The Devil Wears Prada,2018,Screen Actors Guild,50%,Series
Leonardo DiCaprio,Black Swan,1994,Oscar,78%,Movie
Brad Pitt,Titanic,1990,No Awards,47%,Movie
Brad Pitt,Training Day,2023,Oscar,91%,Movie
Scarlett Johansson,The Devil Wears Prada,1984,Critics Choice,82%,Movie
Denzel Washington,Ocean's Eleven,1980,Critics Choice,78%,Movie
Sandra Bullock,Gravity,2003,Oscar,93%,Movie
Morgan Freeman,Se7en,2010,Screen Actors Guild,91%,Movie
Brad Pitt,The Wolf of Wall Street,2022,Golden Globe,43%,Movie
Meryl Streep,Fight Club,1992,Critics Choice,65%,Series
Brad Pitt,Black Swan,2003,Critics Choice,79%,Series
Scarlett Johansson,Fences,2015,No Awards,58%,Series
Brad Pitt,Lucy,1980,No Awards,62%,Movie
Tom Hanks,Titanic,1989,Screen Actors Guild,73%,Movie
Natalie Portman,The Wolf of Wall Street,2002,Critics Choice,70%,Series
Denzel Washington,The Devil Wears Prada,1998,Oscar,99%,Movie
Meryl Streep,Forrest Gump,1991,BAFTA,78%,Movie
Leonardo DiCaprio,The Departed,2001,Critics Choice,61%,Movie
Scarlett Johansson,Fight Club,2015,Screen Actors Guild,60%,Movie
Brad Pitt,Fight Club,1990,Critics Choice,96%,Series
Robert De Niro,The Matrix,1986,BAFTA,46%,Movie
Meryl Streep,Ocean's Eleven,1997,BAFTA,99%,Movie
Sandra Bullock,The Iron Lady,1991,Golden Globe,70%,Movie
Tom Hanks,La La Land,1981,No Awards,72%,Series
Sandra Bullock,The Godfather Part II,1994,Oscar,53%,Series
Leonardo DiCaprio,Gravity,1990,BAFTA,57%,Movie
Tom Hanks,Black Swan,2011,Oscar,89%,Series
Scarlett Johansson,Fences,2022,Oscar,58%,Series
Robert De Niro,The Matrix,2020,Screen Actors Guild,51%,Movie
Brad Pitt,Forrest Gump,2001,Oscar,47%,Movie
Natalie Portman,Lucy,1988,Critics Choice,67%,Movie
Morgan Freeman,La La Land,2022,Screen Actors Guild,98%,Movie
Robert De Niro,The Iron Lady,2012,Screen Actors Guild,88%,Movie
Sandra Bullock,Ocean's Eleven,2023,BAFTA,82%,Movie
Denzel Washington,Gravity,2004,Oscar,74%,Series
Morgan Freeman,The Shawshank Redemption,2005,Oscar,64%,Series
Robert De Niro,Fences,2013,BAFTA,90%,Series
Sandra Bullock,Ocean's Eleven,2014,Critics Choice,87%,Series
Scarlett Johansson,The Wolf of Wall Street,1987,Screen Actors Guild,47%,Movie
Sandra Bullock,The Devil Wears Prada,2015,Oscar,54%,Movie
Tom Hanks,Se7en,2004,Critics Choice,51%,Series
Robert De Niro,The Devil Wears Prada,2010,No Awards,68%,Series
Robert De Niro,The Devil Wears Prada,1980,Critics Choice,67%,Series
Tom Hanks,Lucy,2014,Golden Globe,57%,Series
Leonardo DiCaprio,The Godfather Part II,2012,BAFTA,44%,Movie
Natalie Portman,The Godfather Part II,2020,Critics Choice,43%,Series
Sandra Bullock,Fences,2018,Critics Choice,48%,Series
Meryl Streep,Training Day,1993,Oscar,40%,Movie
Scarlett Johansson,Pulp Fiction,2017,Screen Actors Guild,51%,Movie
Tom Hanks,Black Swan,1989,Screen Actors Guild,45%,Movie
Morgan Freeman,The Iron Lady,1991,No Awards,66%,Movie
Tom Hanks,Gravity,2003,Oscar,63%,Series
Meryl Streep,The Devil Wears Prada,1989,BAFTA,75%,Series
Tom Hanks,The Iron Lady,2001,Critics Choice,48%,Movie
Natalie Portman,The Shawshank Redemption,1991,Critics Choice,40%,Movie
Sandra Bullock,The Departed,1994,Screen Actors Guild,59%,Movie
Leonardo DiCaprio,La La Land,1986,No Awards,43%,Series
Scarlett Johansson,Black Swan,1989,Screen Actors Guild,52%,Series
Natalie Portman,Titanic,2019,Screen Actors Guild,45%,Series
Leonardo DiCaprio,The Silence of the Lambs,1983,No Awards,87%,Series
Denzel Washington,The Departed,1998,Oscar,92%,Series
Tom Hanks,Black Swan,1989,Golden Globe,48%,Movie
Leonardo DiCaprio,Lucy,2003,Oscar,84%,Series
Scarlett Johansson,Pulp Fiction,1995,BAFTA,64%,Movie
Brad Pitt,The Matrix,2017,Screen Actors Guild,60%,Movie
Scarlett Johansson,The Iron Lady,1983,BAFTA,87%,Series
Sandra Bullock,The Shawshank Redemption,2023,No Awards,73%,Series
Denzel Washington,La La Land,2008,Golden Globe,95%,Movie
Denzel Washington,Lucy,1982,Oscar,52%,Series
Denzel Washington,Pulp Fiction,1987,Oscar,54%,Movie
Tom Hanks,Gravity,1993,Golden Globe,97%,Series
Robert De Niro,Training Day,1992,BAFTA,58%,Movie
Robert De Niro,The Devil Wears Prada,2002,Screen Actors Guild,82%,Movie
Brad Pitt,The Iron Lady,1983,Critics Choice,84%,Movie
Robert De Niro,Lucy,2012,Golden Globe,92%,Series
Sandra Bullock,The Shawshank Redemption,1983,Critics Choice,43%,Series
Robert De Niro,Lucy,2007,Screen Actors Guild,75%,Series
Leonardo DiCaprio,Fight Club,1980,Golden Globe,61%,Series
Sandra Bullock,Fences,1999,Critics Choice,43%,Series
Meryl Streep,The Iron Lady,1992,BAFTA,58%,Series
Natalie Portman,The Wolf of Wall Street,1993,Screen Actors Guild,83%,Series
Brad Pitt,Lucy,1998,BAFTA,88%,Series
Brad Pitt,Forrest Gump,2017,Screen Actors Guild,70%,Movie
Meryl Streep,Se7en,1986,Screen Actors Guild,83%,Movie
Scarlett Johansson,Fight Club,2019,Oscar,40%,Movie
Sandra Bullock,The Devil Wears Prada,1988,Oscar,45%,Series
Tom Hanks,Titanic,2020,Oscar,100%,Movie
Meryl Streep,The Wolf of Wall Street,1980,Oscar,80%,Movie
Meryl Streep,Training Day,1982,Critics Choice,81%,Series
Tom Hanks,Titanic,1987,No Awards,66%,Movie
Scarlett Johansson,Pulp Fiction,1990,Golden Globe,51%,Movie
Brad Pitt,Fences,2013,Oscar,53%,Series
Sandra Bullock,Fight Club,1982,Golden Globe,80%,Series
Natalie Portman,The Matrix,1992,Critics Choice,71%,Series
Tom Hanks,Training Day,2022,No Awards,92%,Movie
Leonardo DiCaprio,The Devil Wears Prada,2005,Screen Actors Guild,50%,Movie
Tom Hanks,The Departed,2015,Critics Choice,68%,Series
Denzel Washington,Ocean's Eleven,1999,Oscar,63%,Series
Denzel Washington,Ocean's Eleven,2000,Golden Globe,85%,Series
Robert De Niro,Fight Club,2016,Golden Globe,91%,Series
Scarlett Johansson,Titanic,2012,Critics Choice,64%,Series
Scarlett Johansson,The Matrix,1996,Critics Choice,91%,Movie
Brad Pitt,Training Day,2002,BAFTA,57%,Movie
Robert De Niro,The Devil Wears Prada,2021,No Awards,52%,Movie
Natalie Portman,Gravity,1991,BAFTA,40%,Series
Scarlett Johansson,Pulp Fiction,1994,BAFTA,47%,Series
Morgan Freeman,Training Day,1982,Critics Choice,44%,Movie
Natalie Portman,Black Swan,2003,Screen Actors Guild,70%,Movie
Brad Pitt,Forrest Gump,2006,BAFTA,58%,Movie
Denzel Washington,Pulp Fiction,1992,BAFTA,92%,Movie
Scarlett Johansson,Lucy,2011,No Awards,86%,Movie
Morgan Freeman,Forrest Gump,2011,Oscar,88%,Series
Scarlett Johansson,Fight Club,1983,No Awards,96%,Movie
Meryl Streep,Training Day,2009,No Awards,71%,Series
Scarlett Johansson,Forrest Gump,1984,Oscar,80%,Movie
Tom Hanks,The Silence of the Lambs,2022,Oscar,86%,Movie
Morgan Freeman,Gravity,2005,Critics Choice,68%,Movie
Denzel Washington,Training Day,2011,Screen Actors Guild,65%,Series
Morgan Freeman,The Departed,1983,No Awards,52%,Movie
Sandra Bullock,The Iron Lady,1984,Screen Actors Guild,91%,Series
Leonardo DiCaprio,Titanic,2014,Critics Choice,54%,Series
Denzel Washington,The Matrix,1989,Oscar,87%,Movie
Tom Hanks,La La Land,2011,Screen Actors Guild,41%,Series
Scarlett Johansson,The Departed,1996,Golden Globe,97%,Series
Meryl Streep,Gravity,1985,Golden Globe,91%,Movie
Morgan Freeman,Pulp Fiction,1989,Golden Globe,70%,Movie
Denzel Washington,Se7en,1996,Oscar,91%,Movie
Leonardo DiCaprio,The Silence of the Lambs,2002,Screen Actors Guild,42%,Movie
Leonardo DiCaprio,Black Swan,1988,Critics Choice,94%,Movie
Denzel Washington,The Shawshank Redemption,2023,Oscar,74%,Series
Denzel Washington,The Matrix,1988,Screen Actors Guild,93%,Movie
Robert De Niro,Lucy,2007,Critics Choice,100%,Series
Sandra Bullock,The Silence of the Lambs,1986,Oscar,41%,Movie
Morgan Freeman,Forrest Gump,1993,Golden Globe,48%,Movie
Tom Hanks,Black Swan,2012,Screen Actors Guild,50%,Movie
Natalie Portman,Se7en,2013,Critics Choice,63%,Movie
Natalie Portman,Pulp Fiction,2017,Screen Actors Guild,81%,Series
Natalie Portman,Titanic,1993,Screen Actors Guild,98%,Movie
Denzel Washington,The Silence of the Lambs,1992,Screen Actors Guild,89%,Movie
Robert De Niro,The Silence of the Lambs,1980,No Awards,74%,Movie
Morgan Freeman,Lucy,1982,Screen Actors Guild,89%,Movie
Natalie Portman,Fences,1986,Oscar,100%,Series
Sandra Bullock,Ocean's Eleven,1986,No Awards,62%,Movie
Brad Pitt,The Matrix,2021,Oscar,77%,Movie
Sandra Bullock,Fight Club,2023,Screen Actors Guild,62%,Movie
Brad Pitt,The Wolf of Wall Street,2020,Screen Actors Guild,60%,Movie
Morgan Freeman,Titanic,1986,No Awards,92%,Series
Brad Pitt,Fight Club,1997,No Awards,82%,Series
Leonardo DiCaprio,The Departed,1984,No Awards,99%,Movie
Leonardo DiCaprio,La La Land,2014,BAFTA,60%,Movie
Tom Hanks,Gravity,1984,Oscar,62%,Series
Denzel Washington,Gravity,2019,Critics Choice,72%,Series
Tom Hanks,The Shawshank Redemption,2006,Oscar,62%,Series
Morgan Freeman,Titanic,2005,No Awards,49%,Movie
Natalie Portman,Fight Club,1993,Critics Choice,61%,Movie
Scarlett Johansson,Lucy,1990,Golden Globe,86%,Movie
Leonardo DiCaprio,Training Day,2013,BAFTA,77%,Movie
Brad Pitt,The Godfather Part II,2008,Oscar,98%,Movie
Leonardo DiCaprio,Fences,2002,Screen Actors Guild,67%,Movie
Morgan Freeman,Pulp Fiction,2021,Screen Actors Guild,40%,Movie
Tom Hanks,The Silence of the Lambs,2000,BAFTA,87%,Series
Sandra Bullock,The Silence of the Lambs,1981,BAFTA,60%,Movie
Leonardo DiCaprio,The Departed,2016,Oscar,99%,Movie
Leonardo DiCaprio,The Godfather Part II,2002,Golden Globe,65%,Series
Meryl Streep,Se7en,1994,Critics Choice,50%,Series
Natalie Portman,The Silence of the Lambs,2002,Golden Globe,87%,Movie
Brad Pitt,Gravity,2022,Critics Choice,40%,Movie
Brad Pitt,The Matrix,1987,Oscar,43%,Movie
Denzel Washington,The Matrix,1980,Critics Choice,44%,Series
Meryl Streep,Fight Club,2009,BAFTA,96%,Series
Sandra Bullock,La La Land,2015,Screen Actors Guild,51%,Movie
Sandra Bullock,Se7en,2008,Oscar,66%,Series
Scarlett Johansson,Fight Club,2008,BAFTA,75%,Movie
Scarlett Johansson,Training Day,1981,No Awards,97%,Movie
Brad Pitt,Lucy,1998,Oscar,94%,Movie
Leonardo DiCaprio,Black Swan,2015,Critics Choice,62%,Series
Robert De Niro,Training Day,2007,Oscar,93%,Series
Robert De Niro,Se7en,1994,Screen Actors Guild,56%,Series
Denzel Washington,Forrest Gump,2012,Golden Globe,46%,Movie
Sandra Bullock,Titanic,2023,BAFTA,60%,Movie
